title,stars,mainTag,subTag,text,BodyRightText
워너비제주,,#구좌읍 #행원리 #소품샵,#잡화 #식기류 #향초,그 중 바람이 일 때마다 듣기 좋은 소리를 내는 조개 모빌과 현무암과 조개 모양의 향초는 사장님이 직접 제작한 상품들로 시중의 제품들보다 더 좋은 퀄리티를 자랑하며 수제품인데도 괜찮은 가격에 판매한다. 모빌과 유리컵들은 친절하신 사장님이 부서지지 않게 포장해주시므로 크게 염려할 필요는 없다. 부담스럽지 않은 가격의 소소한 제품들이 대부분으로 가볍게 방문해 볼 수 있다. 매장 내부 규모는 크지 않지만 여러 가지 종류의 물건들이 예쁘게 진열되어 있다. 여성의류부터 제주도가 떠오르는 문구류까지 많은 물건을 판매하고 있다. 워너비제주는 행원리의 조용한 마을에 위치하며 옛 슈퍼마켓에서 쓰던 간판과 눈에 띄는 빨간 줄무늬의 햇빛가리개 덕분에 쉽게 찾을 수 있다. 아기자기한 인테리어 소품들을 판매하는 곳이다. 직접 주운 조개로 만든 모빌과 귀여운 향초를 파는 소품샵,"소개-직접 주운 조개로 만든 모빌과 귀여운 향초를 파는 소품샵, 이용 시간-평일 : 11:00 ~ 17:00 , 주말 : 11:00 ~ 17:00"
프란츠스토어,,#한경면 #조수리 #소품샵,#액세서리 #잡화 #쇼핑,"란츠스토어는 연못이 아름다운 마을 조수리에 자리 잡은 소품 가게이다. 작은 연못 앞에 덩그러니 놓여 있는 파란 지붕의 낮은 집을 찾으면 된다. 구옥을 현대적으로 개조해 멀리서도 눈에 띈다. 최소한의 리모델링만 하여 화려하지 않지만 심플함이 더욱 멋스럽다. 이곳은 ‘없는 게 없는 만물상회’를 지향하는 공간으로, 단순히 소품만 판매하지 않고 손님들에게 필요한 무언가를 큐레이션 하여 선보인다. 의류 및 액세서리는 성인용 제품은 물론, 유아용도 함께 선보인다. 한편에 탈의실이 마련되어 구매 전 미리 입어볼 수도 있다. 또한 필름 카메라, 포스터, 방향제 등 품목이 다양해 구경하는 재미가 쏠쏠하다. 최근 유행하는 향기 관련 상품은 모든 향을 맡아볼 수 있어 취향에 맞는 제품을 선택하는 데 도움이 된다. 일반적인 제주 기념품 판매점에서 볼 수 없는 유니크한 상품을 찾을 수 있으며, 뻔하지 않고 특색 있는 소품 가게를 찾고 싶을 때 방문할 만한 곳이다. 유니크한 매력에 빠지는 조수리 소품숍 구옥을 개조한 만큼 인테리어도 전반적으로 빈티지한 분위기를 풍긴다. 예전엔 거실이나 침실이었던 공간에 세련된 오브제와 물건들을 적절하게 배치해 이곳만의 개성이 강해진다. 특히, 가게 곳곳에 놓인 디제잉머신과 악기들, 대형 스피커와 빈티지 자전거 등 실제로 사용하는 물건들의 모습이 보인다.","소개-유니크한 매력에 빠지는 조수리 소품숍, 이용 시간-평일 : 11:00 ~ 18:00 , 주말 : 11:00 ~ 18:00"
패밀리아펜션,,#휴식 #숙소 #펜션,#휴양펜션 #독채 #바비큐 #공공와이파이존,"패밀리아 펜션은 다양한 부대시설과 유럽풍 독채형 건물과 복층으로 구성된 휴양공간이다. 집처럼 편안한 곳이라는 뜻의 패밀리아 펜션은
시끄러운 자동차소리와 도시의 탁한 공기에서 벗어나 제주의 자연을 만끽할수 있는 곳으로,
깨끗하고 모던한 객실이 완비되어 있어 가족, 연인 여행객에게 추천할만 하다.","소개-유럽풍 복층형 독채 휴양펜션, 이용 시간-Checkin : ~ Checkout :"
디어브리즈,,#구좌읍 #월정리 #소품샵,#의류 #문구류 #잡화,"제주 감성을 담은 유니크한 소풉숍 디어브리즈는 달도 머물다 가는 것으로 유명한 월정리 해수욕장 인근에 자리 잡은 소풉 가게이다. 바다 인근에 있어 찾아가기 쉬운 편이며, 매장 전용 주차 공간이 마련돼 있어 차를 타고 방문하기 용이하다. 골목길 사이, 멀리서도 매장의 영문 상호가 적힌 간판이 눈에 띈다. 통창 너머로 제주 감성이 그대로 느껴지는 소품들이 보인다. 모던한 인테리어로 꾸며진 매장 내부의 인테리어가 이국적이다. 카운터 앞에 길게 놓여 있는 돌 선반, 의류가 걸린 나무 행거, 오브제처럼 놓여 있는 거울, 드림캐처 등 곳곳에서 이곳만의 분위기를 느낄 수 있다. 여행 시 착용하기 좋은 액세서리나 의류부터 문구류, 잡화류까지 다양한 종류의 감성적인 소품을 둘러보는 재미가 쏠쏠하다. 제주 여행에서 빠질 수 없는 기념품도 다양하게 구비하고 있다. 감귤색 가방이나 모자, 선글라스 등은 언제나 인기가 많은 편. 또한 카페도 함께 운영하고 있어 음료 한 잔의 여유를 즐기기에 제격이다. 대표 메뉴는 한라봉과 청귤에이드, 귤피차로 제주에서 나고 자란 과일을 사용해 더욱 맛이 좋다. 인테리어와 분위기가 색다르고, 한적하게 쇼핑을 즐기고 싶을 때 방문할 만하다.","소개-제주 감성을 담은 유니크한 소풉숍, 이용 시간-평일 : 11:00 ~ 18:00 , 주말 : 11:00 ~ 18:00"
꾸꾸제주,,#한림 #옹포리 #소품샵,#액세서리 #문구류 #잡화,"가게 곳곳에 사장님이 손글씨로 적은 메모가 눈에 띈다. 추천하는 이유가 자세히 적혀 있어 선택에 도움이 된다. 이곳은 바다마을의 정취를 느낄 수 있는 한림항 인근에 있다. 또, 에메랄드빛 바다로 유명한 협재해수욕장이 인근에 있어 함께 둘러보는 것도 괜찮은 방법이다. 아늑한 분위기에서 제주 감성이 물씬 느껴지는 소품을 쇼핑하고 싶을 때 방문할 만하다. 매장의 마스코트 고양이 ‘꾸꾸’도 편안히 휴식을 취하고 있다. 매장에 들어서면 여러 가지 핸드메이드 소품으로 가득 차 있는 모습이다. 제주 여행을 기념하기 좋은 문구류, 핸드메이드 실버주얼리, 잡화류나 의류 등 다양한 종류를 구비하고 있다. 제주 상징인 감귤이나 동백꽃이 프린팅된 파우치나 가방도 인기가 많은 소품이다. 꾸꾸제주는 제주 서쪽의 비경을 감상할 수 있는 옹포리에 자리 잡은 소품 가게이다. 이곳은 북적이는 관광지에서 조금 떨어져 있어, 한적하게 쇼핑을 즐기기 제격이다. 앞마당에 심어진 키 큰 나무가 싱그러운 분위기를 자아낸다. 마치 동화 속 오두막집처럼 매장이 꾸며져 있어 사진 촬영하는 손님도 많은 편이다. 동화 속 오두막처럼 아름다운 소품숍","소개-동화 속 오두막처럼 아름다운 소품숍, 이용 시간-평일 : 11:00 ~ 18:30 , 주말 : 11:00 ~ 18:30"
언제라도 북스&리틀갤러리,,#혼자 #커플 #쇼핑,#엽서 #포스터 #관광기념품 #상점/상가,"리틀갤러리에서는 제주에 거주하는 작가의 전시를 중심으로 그림이나 작품을 전시하고 판매한다. 안채와 별채를 각각 서점과 갤러리로 운영한다. 독립영화를 제작하는 책방지기와 일러스트레이터인 갤러리지기가 함께 이 공간을 운영하는데 바닷가와 가까운 조용한 마을에 자리 잡은 서점. 전시가 끝나면 작품이나 엽서, 포스터 등을 서점에서 판매해 독자와 작가를 연결하는 역할을 한다. 고양이 엽서, 에코백, 포스터 엽서 등 아기자기한 소품들도 구입할 수 있다.","소개-바닷가와 가까운 조용한 마을에 자리 잡은 서점, 상세 정보-운영시간 13:00~18:00 매주 월,목 정기휴무"
텐저린맨션,,#제주시내 #중앙로 #복합문화시설,#쇼핑몰,"1층에서 눈에 띄는 제품군은 제주와 관련된 향 제품이다. 제주의 식물들을 말려서 만든 허브 스틱 제품들부터 향초, 방향제까지 다양한 제품들을 시향 후 구매할 수 있다. 매장 끝부분에 고급 찻집처럼 꾸며진 카카오패밀리도 들려볼 만하다. 구좌읍 세화에 본점을 두고 있는 초콜릿 전문점으로 카카오를 이용해 직접 만든 초콜릿을 맛볼 수 있다. 텐저린맨션은 제주목관아 맞은편 있는 복합문화공간이다. 소품샵, 베이커리, 와인샵까지 개성 있는 다양한 샵들이 입점해 구경하는 재미가 쏠쏠한 곳이다. 2021년 리뉴얼 공사 후 재단장한 곳으로 쾌적하고 편리하게 이용할 수 있다. 1층에는 향, 의류 등의 소품들과 함께 초콜릿 전문점 카카오패밀리가 있고 2층에는 카페성지, 베이커리 릿브레드, 와인샵 그로라운지가 입점해 있다 2층에서는 베이커리와 카페에서 구입한 먹거리와 함께 멋진 경치를 즐길 수 있다. 큰 창문 너머로 옛날 행정중심지의 역할을 하던 제주목관아와 그 안에 서자라고 있는 커다란 나무들이 편안함을 느끼게 해준다. 2층 한쪽에 자리 잡고 있는 와인샵 그로라운지 역시 분위기 있는 인테리어로 와인과 간단한 안줏거리를 판매한다. 제주여행 시 분위기에 맞는 와인이나 먹거리 등을 구매해 특별한 저녁 시간을 보내보는 건 어떨까.","소개-다양한 샵들이 입점되어있는 복합문화공간, 상세 정보-입점 매장별 영업시간 확인 후 방문, 이용 시간-평일 : 10:00 ~ 22:00 , 주말 : 10:00 ~ 22:00"
만달,,#서귀포 #중문 #감귤모자,#문구류 #소품 #오메기떡 #전통주,"오메기떡이나 전통주처럼 제주 특산물로 만든 먹거리도 다양하게 구비하고 있다. 일정 금액 이상 구매 시 매장 내 택배 서비스를 이용할 수 있으니 참고할 것. 물건을 구경하는 재미가 쏠쏠한 편이며, 필요한 제주 기념품이 있다면 한곳에서 모두 둘러볼 수 있다는 강점을 지닌다. 여행 중 제주의 감성을 담은 소품을 구매하고 싶을 때 방문할 만한 곳이다. 만달은 1년 내내 관광객의 발길이 끊이지 않는 중문관광단지에 자리 잡은 기념품 판매점이다. 대로변에 큰 간판이 세워져 있어 찾아가기 쉬운 편이다. 주차장도 넓게 마련돼 편리하게 이용할 수 있다. 가게 내부는 화이트톤의 세련된 인테리어로 꾸며져 있다. 매장 규모도 큰 편으로, 쾌적하게 쇼핑하기 알맞은 곳이다. 이곳에서는 제주 로컬 작가와 협업해 핸드메이드 소품을 선보이는 것과 동시에, 제주다운 감성이 가득 느껴지는 기념품을 구매할 수 있다. 대규모 기념품 가게인 만큼 상품이 카테고리 별로 잘 진열돼 있어 찬찬히 둘러보기만 해도 시간이 금방 흐른다. 여행객에게 인기가 많은 건 귀여운 제주 캐릭터 상품이다. 감귤 캐릭터가 그려진 문구류나 소품 등이 스테디셀러다.","소개-중문관광단지 제주감성 담은 기념품숍, 이용 시간-평일 : 09:00 ~ 22:00 , 주말 : 09:00 ~ 22:00"
혜리스마스,,#구좌읍 #세화리 #소품샵,#핸드메이드 #잡화 #레진공예,"혜리스마스는 세화해수욕장 인근에 자리 잡은 핸드메이드 소품 가게이다. 북적이는 관광지가 아닌 주택가 사이에 있어 한적하게 쇼핑을 즐길 수 있다. 돌계단을 층층이 밟고 올라가다 보면, 사슴이 그려진 매장 앞 작은 간판이 서 있다. 제주 감성이 느껴지는 돌담 옆에 감귤나무 한 그루가 심겨 있어 눈길을 끌고, 커다랗게 나 있는 통유리창 사이로 반짝이는 소품이 보인다. 레진 공예에 일가견 있는 사장님이 직접 제작한 책갈피 같은 소품도 인기가 많은 편이다. 그 밖에도 제주 여행 시 입기 좋은 의류나 모자, 기념품으로 빠질 수 없는 먹거리까지 다양한 상품을 진열하고 있어 구경하는 재미가 쏠쏠하다.  일반적인 제주 기념품 판매점에서 볼 수 없는 유니크한 상품을 찾을 수 있으며, 뻔하지 않고 특색 있는 소품 가게를 찾고 싶을 때 방문할 만한 곳이다. 인근에 있는 세화해수욕장도 물놀이하기 좋은 바다로 함께 둘러볼 만하다. 제주 바다를 오롯이 담은 세화 소품숍 전체적으로 화이트와 우드 톤으로 꾸며져 있어 아늑한 느낌을 자아낸다. 이곳은 가게 사장님이 제주 바다에서 직접 주운 조개들로 핸드메이드 소품을 만들어 판매하며, 그 밖에도 여행 시 착용하기 좋은 액세서리류가 잘 갖춰져 있다. 손님들에게 인기가 많은 상품은 햇빛을 받으면 알록달록한 색깔로 반사되는 모빌이다. 감귤부터 한라산까지 제주를 상징하는 모빌은 유니크해 소장 가치를 더한다.","소개-제주 바다를 오롯이 담은 세화 소품숍, 이용 시간-평일 : 11:30 ~ 17:30 , 주말 : 11:30 ~ 17:30"
마니주펜션,별점(5점만점에 4점),#숙소 #펜션 #휴양펜션,#자연경관 #바비큐 #공공와이파이존 #해수욕장 #해안도로 #해변 #가족,"제주국제공항에서 차로 약 15분 거리에 위치한 마니주펜션은 제주올레 17코스를 따라
용두암, 도두봉, 용연다리 등 다양한 명소를 볼 수 있으며, 문화관광지로는 제주공룡랜드, 제주러브랜드, 테디베어뮤지엄 등이 있다. 바다전망이 한눈에 보이는 펜션

마니주펜션은 용담해안도로와 일출과 일몰을 감상할 수 있는 도두봉이 근처에 있다.
안도로를 따라 바다전망이 펼쳐지는 이곳에서 이용객들은 제주의 아름다움을 느낄 수 있다.
펜션형 객실과 호텔형 원룸 객실로 구성이 되어 있고, 공동주방이 따로 있어 실내가 쾌적한 편이다.
또한 바다내음이 가득한 공동테라스에서 바비큐도 즐길 수 있다.","소개-관광지와 가까운 마니주펜션, 이용 시간-Checkin : 15:00 ~ Checkout : 11:00, 편의시설-공용주차장,현금결제,카드결제,화장실,무료 WIFI,유도 및 안내시설,경보 및 피난시설, 장애인 활동 보조 필요성-아주 어려움"
