title,category,introduction,address,roadaddress,latitude,longitude,phoneno,imgpath,tag,contentsid
워너비제주,쇼핑,직접 주운 조개로 만든 모빌과 귀여운 향초를 파는 소품샵,제주특별자치도 제주시 구좌읍 행원리 737,제주특별자치도 제주시 구좌읍 행원로9길 8-1,33.5538524,126.808447,010-2063-0756,https://api.cdn.visitjeju.net/photomng/imgpath/202306/30/0eb718e4-38dd-4bf9-a5d6-2a6bdd0b8b59.jpg,"식기류, 잡화, 구좌읍, 행원리, 소품샵, 향초",CNTS_200000000015046
프란츠스토어,쇼핑,유니크한 매력에 빠지는 조수리 소품숍,제주특별자치도 제주시 한경면 조수리 326-1,제주특별자치도 제주시 한경면 용금로 491,33.3363942,126.2323962,010-6367-6026,https://api.cdn.visitjeju.net/photomng/imgpath/202306/15/a54f3547-5f79-4747-92bb-9259e37eb382.jpg,"잡화, 조수리, 소품샵, 한경면, 쇼핑, 액세서리",CNTS_200000000015098
패밀리아펜션,숙박,유럽풍 복층형 독채 휴양펜션,제주특별자치도 서귀포시 표선면 하천리 1606,제주특별자치도 서귀포시 표선면 번영로 3340,33.3504691,126.8235669,064-787-9009,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/c57d6a35-ef47-424e-83c1-e9fec9f21468.jpg,"휴식,숙소,펜션,휴양펜션,독채,바비큐,공공와이파이존",CNTS_000000000021992
디어브리즈,쇼핑,제주 감성을 담은 유니크한 소풉숍,제주특별자치도 제주시 구좌읍 월정리 491,제주특별자치도 제주시 구좌읍 월정3길 42,33.5547725,126.7940828,0507-1477-7045,https://api.cdn.visitjeju.net/photomng/imgpath/202306/30/4b68e566-d6c6-416c-8bf9-dbdee0c9397f.jpg,"잡화, 구좌읍, 의류, 월정리, 소품샵, 문구류",CNTS_300000000015999
꾸꾸제주,쇼핑,동화 속 오두막처럼 아름다운 소품숍,제주특별자치도 제주시 한림읍 옹포리 326-3,제주특별자치도 제주시 한림읍 한림상로 15-5,33.4056365,126.2567624,0507-1377-0013,https://api.cdn.visitjeju.net/photomng/imgpath/202306/30/f6ce6955-e08f-42b8-947c-300116fbe3b0.jpg,"잡화, 한림, 옹포리, 소품샵, 문구류, 액세서리",CNTS_200000000015140
언제라도 북스&리틀갤러리,쇼핑,바닷가와 가까운 조용한 마을에 자리 잡은 서점,제주특별자치도 제주시 구좌읍 하도리 1568,제주특별자치도 제주시 구좌읍 문주란로5길 34-2,33.5204746,126.8875582,010-2956-1087,https://api.cdn.visitjeju.net/photomng/imgpath/201908/28/4b27f2e0-568a-4df1-8257-0f72118961e5.JPG,"혼자,커플,쇼핑,엽서,포스터, 혼자,커플,쇼핑,엽서,포스터,관광기념품,상점/상가",CNTS_200000000009177
텐저린맨션,쇼핑,다양한 샵들이 입점되어있는 복합문화공간,제주특별자치도 제주시 삼도이동 57-2,제주특별자치도 제주시 관덕로 26,33.5128705,126.5219573,번호없음,https://api.cdn.visitjeju.net/photomng/imgpath/202306/15/7fea5631-84b5-4d4f-9d09-effaea20cca7.jpg,"쇼핑몰, 복합문화시설, 제주시내, 중앙로",CNTS_200000000015014
만달,쇼핑,중문관광단지 제주감성 담은 기념품숍,제주특별자치도 서귀포시 중문동 1828-3,제주특별자치도 서귀포시 일주서로 710,33.2563229,126.4342241,064-739-7896,https://api.cdn.visitjeju.net/photomng/imgpath/202306/13/25bf8fb0-fa4f-4d35-9965-808290a07f54.jpg,"감귤모자, 소품, 전통주, 오메기떡, 중문, 서귀포, 문구류",CNTS_200000000015102
혜리스마스,쇼핑,제주 바다를 오롯이 담은 세화 소품숍,제주특별자치도 제주시 구좌읍 세화리 1467,제주특별자치도 제주시 구좌읍 구좌로 51-1,33.5232074,126.8571133,064-783-3997,https://api.cdn.visitjeju.net/photomng/imgpath/202306/30/ac6a66e8-5182-424d-83c8-14555b6cc958.jpg,"잡화, 레진공예, 구좌읍, 세화리, 핸드메이드, 소품샵",CNTS_300000000015996
마니주펜션,숙박,관광지와 가까운 마니주펜션,제주특별자치도 제주시 도두일동 1688-9,제주특별자치도 제주시 서해안로 248,33.5089545,126.4722988,064-711-6141,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/eddfa8cd-20ea-4d6d-96fb-a206dd58e0ae.jpg,"숙소,펜션,휴양펜션,자연경관,바비큐,공공와이파이존,해수욕장,해안도로,해변,가족, 숙소,펜션,휴양펜션,자연경관,바비큐,공공와이파이존,해수욕장,해안도로,해변,가족,공용주차장,현금결제,카드결제,화장실,무료 WIFI,유도 및 안내시설,경보 및 피난시설,아주 어려움",CNTS_000000000019279
푸근한곰아저씨,쇼핑,올레4코스에 서 있는 쉼표 같은 책방,제주특별자치도 서귀포시 남원읍 태흥리 50-3 2층,제주특별자치도 서귀포시 남원읍 태신해안로 125 2층,33.2921763,126.761385,064-764-8885,https://api.cdn.visitjeju.net/photomng/imgpath/202306/30/0f65f1ac-38ef-4164-9832-f5ee6f4e70b6.jpg,"독립서점, 잡화, 소품, 남원, 서귀포, 책방",CNTS_300000000016007
책약방,쇼핑,사람 대신 책이 지키는 책방,제주특별자치도 제주시 구좌읍 종달리 1765,제주특별자치도 제주시 구좌읍 종달로5길 11,33.4840385,126.9014964,번호없음,https://api.cdn.visitjeju.net/photomng/imgpath/201908/28/969b352c-3ddb-4964-9840-5e1c74fbce6c.JPG,"혼자,친구,휴식/힐링,책방,서점,쇼핑,관광기념품,상점/상가, 혼자,친구,휴식/힐링,책방,서점",CNTS_200000000009174
썬라이즈호텔,숙박,중문관광단지에 위치한 강렬한 태양을 담은 포근한 숙소,제주특별자치도 서귀포시 중문동 2453,제주특별자치도 서귀포시 중문관광로 310,33.2474985,126.4305878,064-763-2299,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/2638f96b-59e0-452d-b642-9e4e1cb7dc89.gif,"호텔,숙소,수영장,산책로,조식,해변,주차장,공공와이파이존,관광호텔,가족호텔, 호텔,숙소,수영장,산책로,조식,해변,주차장,공공와이파이존,관광호텔,가족호텔,공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CNTS_000000000020903
해호텔,숙박,"공항에서 5분, 제주항에서 10분인 거리에 있으며, 주변관광지인 용담해안도로가 있어 시원한 바다풍경을 보기에 좋은 호텔",제주특별자치도 제주시 용담삼동 1161,제주특별자치도 제주시 서해안로 526,33.5197387,126.495252,064-742-5356,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/c95eee1e-0bc6-41b7-884a-a7910397c783.gif,"호텔,숙소,주차장,엘리베이터,물품보관서비스,해안도로,공항,관광호텔,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,유도 및 안내시설,경보 및 피난시설,아주 어려움, 호텔,숙소,주차장,엘리베이터,물품보관서비스,해안도로,공항,관광호텔",CNTS_000000000018199
쥬데마르카,쇼핑,자체 제작 상품을 선보이는 소품샵,제주특별자치도 제주시 삼도이동 1080-1,제주특별자치도 제주시 무근성5길 12,33.5138238,126.5195356,0507-1335-4150,https://api.cdn.visitjeju.net/photomng/imgpath/202306/15/0e07d2b5-72d8-4c61-8cdd-7b70d885cbf4.jpg,"잡화, 의류, 제주시내, 소품샵, 문구류",CNTS_200000000015015
뉴아일랜드민박,숙박,"신앙항뷰가 아름다운 곳
넓은마당 보유",제주특별자치도 제주시 추자면 신양리 417,제주특별자치도 제주시 추자면 추자로 581-6,33.9354341,126.3227638,064-744-0533,https://api.cdn.visitjeju.net/photomng/imgpath/201908/20/c537424a-67bf-4a2d-949d-f965722814dc.JPG,"추자민박,추자신앙,추자마당,숙소,민박,농어촌민박,교통,낚시,산책로, 추자민박,추자신앙,추자마당,공용주차장,화장실,흡연구역,음료대,카드결제,현금결제,아주 어려움,없음,동반불가능,유료제공,흡연구역제공,세탁서비스,없음,운행",CNTS_200000000009104
밀물민박,숙박,바다뷰가 보이는 민박,제주특별자치도 제주시 추자면 영흥리 8-3,제주특별자치도 제주시 추자면 추자로 106-1,33.9567036,126.2969646,010-9688-2359,https://api.cdn.visitjeju.net/photomng/imgpath/201908/20/f58a7679-da8b-48bf-b9cf-77491349e80a.JPG,"추자슈퍼,추자민박,추자도,숙소,민박,농어촌민박,공공와이파이존,힐링, 추자슈퍼,추자민박,추자도,화장실,무료 WIFI,카드결제,현금결제,아주 어려움,없음,동반불가능,유료제공,전체금연,세탁서비스,인터넷,없음,운행",CNTS_200000000009095
제주 해피펜션,숙박,해피펜션은 올레길 17코스 해안도로를 따라 위치해있다. ,제주특별자치도 제주시 외도2동 317-1,제주특별자치도 제주시 월대1길 4,33.49411,126.43378,010-5699-3971,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/d29bd413-8a98-4892-887e-c0aaef85b511.jpg,"펜션,휴식,숙소,휴양펜션,주차장,포장판매,공공와이파이존,독채,스파,단체여행객,온돌방,가족,풀빌라,해수욕장,바비큐,해변,제주시권, 펜션,휴식,숙소,휴양펜션,주차장,포장판매,공공와이파이존,독채,스파,단체여행객,온돌방,가족,풀빌라,해수욕장,바비큐,해변,제주시권,공용주차장,카드결제,무료 WIFI",CNTS_000000000021903
아트살롱,쇼핑,트렌디한 아이템은 모두 모인 편집숍,제주특별자치도 서귀포시 대정읍 안성리 1858-4,제주특별자치도 서귀포시 대정읍 추사로38번길 150,33.2630695,126.279655,064-772-5524,https://api.cdn.visitjeju.net/photomng/imgpath/202306/13/ddd2b874-d676-4052-908b-f172e363c40c.jpg,"잡화, 대정, 소품샵, 서귀포, 쇼핑, 에코백",CNTS_200000000015096
아일랜드펜션,숙박,성산일출봉 인근에 위치한 펜션,제주특별자치도 서귀포시 성산읍 수산리 3988-3,제주특별자치도 서귀포시 성산읍 금백조로131번길 176,33.4311796,126.8443512,010-3789-1645,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/a99f42c9-7ad6-4626-ba6f-19f23eda227b.gif,"휴식,숙소,펜션,휴양펜션,바비큐,단체여행객,힐링쉼터,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,유도 및 안내시설,경보 및 피난시설,아주 어려움, 휴식,숙소,펜션,휴양펜션,바비큐,단체여행객,힐링쉼터",CNTS_000000000019099
김선장네 민박,숙박,이쁜 색으로 알록달록한 민박,제주특별자치도 제주시 추자면 영흥리 327-1,제주특별자치도 제주시 추자면 영흥1길 14,33.9567036,126.2969646,010-9040-0988,https://api.cdn.visitjeju.net/photomng/imgpath/201908/20/0dd9312e-bbf2-4b23-b5e9-d11cc34faa5f.jpg,"추자포토존,추자숙소,추자도,화장실,무료 WIFI,카드결제,현금결제,아주 어려움,없음,동반불가능,없음,전체금연,세탁서비스,없음,운행, 추자포토존,추자숙소,추자도,숙소,포토스팟,민박,농어촌민박,공공와이파이존,교통",CNTS_200000000009092
서귀양품점,쇼핑,향기로운 캔들의 향으로 가득한 소품샵,제주특별자치도 서귀포시 색달동 1979-2,제주특별자치도 서귀포시 색달로 65,33.2612372,126.410477,070-737-3501,https://api.cdn.visitjeju.net/photomng/imgpath/202306/13/7974472b-ad82-46d3-8c07-49c66f3bd41d.jpg,"기념품, 방향제, 중문, 서귀포, 캔들, 쇼핑",CNTS_200000000015101
탑팰리스호텔,숙박,"탑동에 위치, 에메랄드빛 바다가 내려다 보이는 호텔",제주특별자치도 제주시 일도일동 1279-5,제주특별자치도 제주시 중앙로 34,33.5152449,126.5245946,064-721-8898,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/493f057f-67cc-4c38-9a59-28a29cc55326.jpg,"호텔,숙소,공공와이파이존,양식레스토랑,주차장,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,유도 및 안내시설,경보 및 피난시설,엘리베이터,승강기,장애인 전용 객실,아주 어려움, 호텔,숙소,공공와이파이존,양식레스토랑,주차장,무장애관광",CNTS_000000000018205
코업시티호텔성산,숙박,성산일출봉과 오름을 조망할 수 있는 호텔,제주특별자치도 서귀포시 성산읍 성산리 250,제주특별자치도 서귀포시 성산읍 성산등용로 28,33.4659601,126.9319623,064-780-9800,https://api.cdn.visitjeju.net/photomng/imgpath/202206/15/6b7c0135-e57f-49a5-8a6c-1c742972183d.jpg,"숙소,공공와이파이존,주차장,호텔,안전여행스탬프",CNTS_200000000013415
해변여행,숙박,깔끔한 인테리어의 준비된 펜션,제주특별자치도 제주시 애월읍 하귀2리 2726,제주특별자치도 제주시 애월읍 가문동길 41-2,33.486088,126.392105,064-747-5508,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/419de71a-75f7-4094-a28b-2a2c588a9427.jpg,"펜션,공용주차장,화장실,무료 WIFI,아주 어려움, 펜션,숙소,휴양펜션,민박,농어촌민박,고향민박,힐링,식당,바비큐,카페,낚시,자연경관",CNTS_000000000019160
조은민박,숙박,한지그림 작품이 걸려있는 민박,제주특별자치도 제주시 추자면 대서리 129,제주특별자치도 제주시 추자면 대서4길 6,33.9642903,126.2929862,010-6310-4069,https://api.cdn.visitjeju.net/photomng/imgpath/201908/21/8ce601cb-9633-4d68-bd0a-d689f4aa601d.JPG,"한지그림,추자민박,추자도,화장실,무료 WIFI,흡연구역,편의점,카드결제,현금결제,없음,동반불가능,유료제공,전체금연,없음,운행, 한지그림,추자민박,추자도,숙소,민박,농어촌민박,공공와이파이존,교통",CNTS_200000000009133
휘슬락호텔,숙박,신비로운 제주의 바다가 한 폭의 그림으로 기억되는 호텔,제주특별자치도 제주시 건입동 1443-2,제주특별자치도 제주시 서부두2길 26,33.5173865,126.5275849,064-795-7000,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/d2432986-1308-4755-8eea-6ad8ebdbf793.jpg,"호텔,숙소,오션뷰호텔,공공와이파이존,수영장,주차장,양식레스토랑,조식 포함",CNTS_000000000022172
나무이야기,숙박,올래5코스 시작점에 위치한 편백나무와 삼나무 등 나무로 내부 인테리어가 된 곳,제주특별자치도 서귀포시 남원읍 남원리 153-3,제주특별자치도 서귀포시 남원읍 남한로21번길 9,33.2808477,126.7166153,010-3389-4071,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/a23c46b7-0d0b-4725-bec8-bf6b7056c8f0.jpg,"게스트하우스,숙소,민박,오름투어,낚시,체험,온돌방,바비큐,공공와이파이존,해변,편백나무펜션,독채,방갈로숙박촌,농어촌민박, 게스트하우스,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,어려움",CONT_000000000500809
늘송파크텔,숙박,"공항과 인접하며, 시내중심지에 위치한 제주도 호텔",제주특별자치도 제주시 노형동 905-13,제주특별자치도 제주시 원노형5길 22,33.4875793,126.4832153,064-749-3303,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/f42aa667-4520-4ee7-90ea-b4a56261513f.gif,"어린이,일반숙박,숙소,온돌방,공항,한국관광품질인증업소,무장애관광,우수관광사업체, 어린이,일반숙박,숙소,온돌방,공항,한국관광품질인증업소,무장애관광,우수관광사업체,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,엘리베이터,승강기,아주 어려움,우수관광사업체",CONT_000000000500821
도일모텔,숙박,제주공항에서 8분거리 신제주에 위치한 깨끗하고 아늑한 모텔,제주특별자치도 제주시 연동 268-8,제주특별자치도 제주시 신광로 102,33.4830492,126.4896627,064-742-6947,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/1cd5bd9c-8968-4a1f-8b9d-5806fa5768c8.jpg,"여관,공용주차장,현금결제,카드결제,화장실,편의점,음료대,아주 어려움, 여관,숙소,모텔,일반숙박,주차장,공공와이파이존,공항",CONT_000000000500834
민중각 게스트하우스,숙박,저렴한 비용의 게스트하우스,제주특별자치도 서귀포시 서귀동 305-6,제주특별자치도 서귀포시 서문로28번길 4,33.250675,126.5587815,064-763-0501,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/9f93d281-cc97-4e32-9e9c-e37c9bdd6e93.jpg,"게스트,게스트하우스,숙소,주차장,물품보관서비스,공공와이파이존,오름투어,고향민박,무장애관광, 게스트,게스트하우스,숙소,주차장,물품보관서비스,공공와이파이존,오름투어,고향민박,무장애관광,공용주차장,현금결제,카드결제,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,단차없음,어려움",CONT_000000000500883
쿨쿨하우스,숙박,서귀포 향토 오일시장 인근에 위치한 게스트하우스,제주특별자치도 서귀포시 동홍동 819-5,제주특별자치도 서귀포시 동홍로262번길 62,33.269596,126.57267,064-767-5000,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/57173b91-a6e6-4a0f-8754-eb25cf4a1e5a.jpg,"게스트하우스,독채,단체여행객,주차장,공공와이파이존,정원, 게스트하우스,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,아주 어려움",CONT_000000000500925
스카이리더스호텔,숙박,제주시의 중심지에 위치한 호텔,제주특별자치도 제주시 연동 268-13,제주특별자치도 제주시 신광로 106,33.4826164,126.4896573,064-747-0003,https://api.cdn.visitjeju.net/photomng/imgpath/201907/04/a60514dc-76fd-4ad9-b6e2-8884bb5ed037.png,"휴식/힐링,숙소,호텔,공공와이파이존,음식,엘리베이터,관광호텔,무장애관광, 휴식/힐링,숙소,호텔,공공와이파이존,음식,엘리베이터,관광호텔,공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설,엘리베이터,단차없음,승강기,어려움",CONT_000000000500948
에리두 Cafe n Beds,숙박,"시내, 관광지와 가깝지만 조용한 대포동에 자리해 완벽한 휴식을 취할 수 있는 B&B",제주특별자치도 서귀포시 대포동 2016,제주특별자치도 서귀포시 대포복개로 37,33.241926,126.434642,064-739-5867,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/c2f3701e-e04c-42d5-8fbe-f11a6cb5939d.jpg,"민박,농어촌민박,독채,수영장,주차장,공공와이파이존,펜션,가족, 민박,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,유도 및 안내시설,경보 및 피난시설,아주 어려움",CONT_000000000500972
오빌하우스,숙박,올레 6코스 시작점에 위치하여 바다와 한라산 전경을 모두 감상할 수 있는 펜션형 게스트하우스,제주특별자치도 서귀포시 남원읍 신례리 85-5,제주특별자치도 서귀포시 남원읍 공천포로11번길 15,33.299995,126.6297939,070-7722-0816,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/5b716072-6310-4d65-9f82-f15fe8005886.jpg,"게스트하우스,숙소,펜션,휴양펜션,가족,바비큐,공공와이파이존, 게스트하우스,숙소,펜션,휴양펜션,가족,바비큐,공공와이파이존,공용주차장,현금결제,카드결제,화장실,무료 WIFI,유도 및 안내시설,경보 및 피난시설,아주 어려움",CONT_000000000500985
예술상점꺄르르,쇼핑,다양한 자개모빌과 의류를 판매하는 소품샵,제주특별자치도 서귀포시 안덕면 사계리 126-1,제주특별자치도 서귀포시 안덕면 사계남로216번길 29,33.2338354,126.3104243,064-792-3056,https://api.cdn.visitjeju.net/photomng/imgpath/202306/30/b923aa18-a27b-4b3b-b7dd-a09a99901233.jpg,"안덕면, 잡화, 의류, 사계리 소품샵, 서귀포",CNTS_200000000015093
호텔제이엠,숙박,신제주 도심 속 교통이 편리한 곳에 위치한 호텔,제주특별자치도 제주시 연동 260-40,제주특별자치도 제주시 삼무로1길 10-7,33.4903668,126.4888158,064-747-6766,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/39910d1f-ef27-4267-bd55-fe0440c28d24.jpg,"휴식/힐링,호텔,숙소,주차장,공공와이파이존,무장애여행,편의시설,무장애관광,공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설,단차없음,장애인 화장실,장애인 전용 주차장,어려움,3성급, 휴식/힐링,호텔,숙소,주차장,공공와이파이존,무장애여행,편의시설,무장애관광",CONT_000000000501139
낭만펜션,숙박,공항과 가깝고 올레길 17코스에 위치해있는 낭만제주펜션은 주변에 이호테우해변 용두암 곽지해변이있습니다.,제주특별자치도 제주시 도두일동 1852-1,제주특별자치도 제주시 도두5길 28,33.5048108,126.472066,064-713-7705,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/76d7ea19-203e-48e7-aa40-d0fb28ea60b7.jpg,"휴식,숙소,휴양펜션,펜션,가족,단체여행객,바비큐,해변,자연경관,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움, 휴식,숙소,휴양펜션,펜션,가족,단체여행객,바비큐,해변,자연경관",CNTS_000000000019143
제주나인리조트,숙박,"가족, 모임, 세미나, 워크숍 등 단체 여행객들이 이용하기 좋은 리조트",제주특별자치도 제주시 해안동 2109,제주특별자치도 제주시 해안마을북길 14-5,33.4650239,126.4537337,064-722-2222,https://api.cdn.visitjeju.net/photomng/imgpath/202206/15/de827a01-8e92-44fe-9d56-524cc1b422d6.jpg,"숙소,주차장,가족호텔,호텔,안전여행스탬프,2성급, 숙소,주차장,가족호텔,호텔,안전여행스탬프",CNTS_200000000013408
토마토하우스,숙박,"성산일출봉, 섭지코지 등 볼거리와 성산항 수산시장, 잠수함, 낚시배 등의 체험관광을 도보 5분 거리에서 즐길 수 있는 곳",제주특별자치도 서귀포시 성산읍 성산리 359-4,제주특별자치도 서귀포시 성산읍 성산등용로 96-7,33.4698532,126.9305924,064-784-2214,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/867dbafe-6a62-45ea-82bf-f17d442ce57b.gif,"펜션,숙소,휴양펜션,공공와이파이존,해변,가족,온돌방,단체여행객,바비큐,독채,갯벌체험학습장,물품보관서비스,주차장,교통, 펜션,숙소,휴양펜션,공공와이파이존,해변,가족,온돌방,단체여행객,바비큐,독채,갯벌체험학습장,물품보관서비스,주차장,교통,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CNTS_000000000019179
갯바위펜션,숙박,중문관광단지에서 차로 10분거리인 난드르에 위치해 있는 펜션,제주특별자치도 서귀포시 하예동 1747,제주특별자치도 서귀포시 하예하동로 37,33.2335467,126.3727955,064-738-2761,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/d266aae1-3aac-4840-8bf4-05b4bbb8a61f.gif,"펜션,숙소,휴양펜션,낚시,해수욕장,수상레저,바비큐,농어촌민박, 펜션,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CNTS_000000000018269
일출썬 펜션,숙박,옥상에서 성산의 일출을 감상할 수 있는 곳,제주특별자치도 서귀포시 성산읍 성산리 279,제주특별자치도 서귀포시 성산읍 성산중앙로65번길 6-2,33.4655081,126.9344914,064-784-6400,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/3e813676-ba59-4938-88d0-ae1aec946daa.jpg,"펜션,숙소,휴양펜션,민박,바비큐,공공와이파이존,힐링, 펜션,숙소,휴양펜션,민박,바비큐,공공와이파이존,힐링,공용주차장,현금결제,카드결제,화장실,무료 WIFI",CNTS_000000000022748
