title,BodyRightText
썬라이즈호텔,상세 정보-밤 10시 이후 도착 시 사전 연락 필수
썬라이즈호텔,이용 시간-Checkin : 15:00 ~ Checkout : 11:00
썬라이즈호텔,"편의시설-공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,음료대,유도 및 안내시설,경보 및 피난시설"
썬라이즈호텔,장애인 활동 보조 필요성-아주 어려움
해호텔,"소개-공항에서 5분, 제주항에서 10분인 거리에 있으며, 주변관광지인 용담해안도로가 있어 시원한 바다풍경을 보기에 좋은 호텔"
해호텔,이용 시간-Checkin : 15:00 ~ Checkout : 11:00
해호텔,"편의시설-공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,유도 및 안내시설,경보 및 피난시설"
해호텔,장애인 활동 보조 필요성-아주 어려움
쥬데마르카,소개-자체 제작 상품을 선보이는 소품샵
쥬데마르카,"상세 정보-매주 일요일, 월요일 정기휴무"
쥬데마르카,"이용 시간-평일 : 13:00 ~ 18:30 , 주말 : 13:00 ~ 18:30"
뉴아일랜드민박,소개-신앙항뷰가 아름다운 곳 넓은마당 보유
뉴아일랜드민박,숙박 업종-펜션/민박
뉴아일랜드민박,등급-없음
뉴아일랜드민박,룸개수-10
뉴아일랜드민박,애완동물동반허용여부-동반불가능
뉴아일랜드민박,조식제공 여부-유료제공
뉴아일랜드민박,금연여부-흡연구역제공
뉴아일랜드민박,부대시설-세탁서비스
뉴아일랜드민박,이용 시간-Checkin : ~ Checkout :
뉴아일랜드민박,Late체크인여부-가능
뉴아일랜드민박,장애인전용객실여부-없음
뉴아일랜드민박,셔틀버스 운행 여부-운행
뉴아일랜드민박,"편의시설-공용주차장,화장실,흡연구역,음료대"
뉴아일랜드민박,장애인 활동 보조 필요성-아주 어려움
밀물민박,소개-바다뷰가 보이는 민박
밀물민박,숙박 업종-펜션/민박
밀물민박,등급-없음
밀물민박,룸개수-1
밀물민박,애완동물동반허용여부-동반불가능
밀물민박,조식제공 여부-유료제공
밀물민박,금연여부-전체금연
밀물민박,"부대시설-세탁서비스,인터넷"
밀물민박,이용 시간-Checkin : ~ Checkout :
밀물민박,Late체크인여부-가능
밀물민박,장애인전용객실여부-없음
밀물민박,셔틀버스 운행 여부-운행
밀물민박,"편의시설-화장실,무료 WIFI"
밀물민박,장애인 활동 보조 필요성-아주 어려움
제주 해피펜션,소개-해피펜션은 올레길 17코스 해안도로를 따라 위치해있다.
제주 해피펜션,이용 시간-Checkin : 15:00 ~ Checkout : 11:00
제주 해피펜션,"편의시설-공용주차장,카드결제,무료 WIFI"
아트살롱,소개-트렌디한 아이템은 모두 모인 편집숍
아트살롱,상세 정보-비정기휴무 매장 SNS 확인
아트살롱,"이용 시간-평일 : 11:00 ~ 18:00 , 주말 : 11:00 ~ 18:00"
아일랜드펜션,소개-성산일출봉 인근에 위치한 펜션
아일랜드펜션,이용 시간-Checkin : ~ Checkout :
아일랜드펜션,"편의시설-공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,유도 및 안내시설,경보 및 피난시설"
아일랜드펜션,장애인 활동 보조 필요성-아주 어려움
김선장네 민박,소개-이쁜 색으로 알록달록한 민박
김선장네 민박,숙박 업종-펜션/민박
김선장네 민박,등급-없음
김선장네 민박,룸개수-9
김선장네 민박,애완동물동반허용여부-동반불가능
김선장네 민박,조식제공 여부-없음
김선장네 민박,금연여부-전체금연
김선장네 민박,부대시설-세탁서비스
김선장네 민박,이용 시간-Checkin : ~ Checkout :
김선장네 민박,Late체크인여부-가능
김선장네 민박,장애인전용객실여부-없음
김선장네 민박,셔틀버스 운행 여부-운행
김선장네 민박,"편의시설-화장실,무료 WIFI"
김선장네 민박,장애인 활동 보조 필요성-아주 어려움
서귀양품점,소개-향기로운 캔들의 향으로 가득한 소품샵
서귀양품점,"이용 시간-평일 : 11:00 ~ 20:00 , 주말 : 11:00 ~ 20:00"
탑팰리스호텔,"소개-탑동에 위치, 에메랄드빛 바다가 내려다 보이는 호텔"
탑팰리스호텔,이용 시간-Checkin : ~ Checkout :
탑팰리스호텔,"편의시설-공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,유도 및 안내시설,경보 및 피난시설,엘리베이터"
탑팰리스호텔,장애인 시설정보-장애인 시설정보 >
탑팰리스호텔,장애인 활동 보조 필요성-아주 어려움
코업시티호텔성산,소개-성산일출봉과 오름을 조망할 수 있는 호텔
코업시티호텔성산,숙박 업종-호텔
코업시티호텔성산,이용 시간-Checkin : ~ Checkout :
해변여행,소개-깔끔한 인테리어의 준비된 펜션
해변여행,상세 정보-연중무휴
해변여행,이용 시간-Checkin : ~ Checkout :
해변여행,"편의시설-공용주차장,화장실,무료 WIFI"
해변여행,장애인 활동 보조 필요성-아주 어려움
조은민박,소개-한지그림 작품이 걸려있는 민박
조은민박,숙박 업종-펜션/민박
조은민박,등급-없음
조은민박,룸개수-6
조은민박,애완동물동반허용여부-동반불가능
조은민박,조식제공 여부-유료제공
조은민박,금연여부-전체금연
조은민박,이용 시간-Checkin : ~ Checkout :
조은민박,Late체크인여부-가능
조은민박,장애인전용객실여부-없음
조은민박,셔틀버스 운행 여부-운행
조은민박,"편의시설-화장실,무료 WIFI,흡연구역,편의점"
휘슬락호텔,소개-신비로운 제주의 바다가 한 폭의 그림으로 기억되는 호텔
휘슬락호텔,이용 시간-Checkin : ~ Checkout :
나무이야기,소개-올래5코스 시작점에 위치한 편백나무와 삼나무 등 나무로 내부 인테리어가 된 곳
나무이야기,이용 시간-Checkin : ~ Checkout :
나무이야기,"편의시설-공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설"
나무이야기,장애인 활동 보조 필요성-어려움
늘송파크텔,"소개-공항과 인접하며, 시내중심지에 위치한 제주도 호텔"
늘송파크텔,상세 정보-연중무휴
늘송파크텔,이용 시간-Checkin : ~ Checkout :
늘송파크텔,"편의시설-공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,엘리베이터"
늘송파크텔,장애인 시설정보-장애인 시설정보 >
늘송파크텔,장애인 활동 보조 필요성-아주 어려움
늘송파크텔,기타 상세-우수관광사업체
도일모텔,소개-제주공항에서 8분거리 신제주에 위치한 깨끗하고 아늑한 모텔
도일모텔,이용 시간-Checkin : ~ Checkout :
도일모텔,"편의시설-공용주차장,현금결제,카드결제,화장실,편의점,음료대"
도일모텔,장애인 활동 보조 필요성-아주 어려움
민중각 게스트하우스,소개-저렴한 비용의 게스트하우스
민중각 게스트하우스,이용 시간-Checkin : ~ Checkout :
민중각 게스트하우스,"편의시설-공용주차장,현금결제,카드결제,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설"
민중각 게스트하우스,장애인 시설정보-장애인 시설정보 >
민중각 게스트하우스,장애인 활동 보조 필요성-어려움
쿨쿨하우스,소개-서귀포 향토 오일시장 인근에 위치한 게스트하우스
쿨쿨하우스,상세 정보-연중무휴
쿨쿨하우스,이용 시간-Checkin : ~ Checkout :
쿨쿨하우스,"편의시설-공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설"
쿨쿨하우스,장애인 활동 보조 필요성-아주 어려움
스카이리더스호텔,소개-제주시의 중심지에 위치한 호텔
스카이리더스호텔,이용 시간-Checkin : ~ Checkout :
스카이리더스호텔,"편의시설-공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설,엘리베이터"
스카이리더스호텔,장애인 시설정보-장애인 시설정보 >
스카이리더스호텔,장애인 활동 보조 필요성-어려움
에리두 Cafe n Beds,"소개-시내, 관광지와 가깝지만 조용한 대포동에 자리해 완벽한 휴식을 취할 수 있는 B&B"
에리두 Cafe n Beds,이용 시간-Checkin : ~ Checkout :
에리두 Cafe n Beds,"편의시설-공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,유도 및 안내시설,경보 및 피난시설"
에리두 Cafe n Beds,장애인 활동 보조 필요성-아주 어려움
오빌하우스,소개-올레 6코스 시작점에 위치하여 바다와 한라산 전경을 모두 감상할 수 있는 펜션형 게스트하우스
오빌하우스,이용 시간-Checkin : 15:00 ~ Checkout : 10:00
오빌하우스,"편의시설-공용주차장,현금결제,카드결제,화장실,무료 WIFI,유도 및 안내시설,경보 및 피난시설"
오빌하우스,장애인 활동 보조 필요성-아주 어려움
예술상점꺄르르,소개-다양한 자개모빌과 의류를 판매하는 소품샵
예술상점꺄르르,상세 정보-매주 목요일 정기휴무
예술상점꺄르르,"이용 시간-평일 : 11:00 ~ 18:00 , 주말 : 11:00 ~ 18:00"
호텔제이엠,소개-신제주 도심 속 교통이 편리한 곳에 위치한 호텔
호텔제이엠,숙박 업종-호텔
호텔제이엠,등급-3성급
호텔제이엠,이용 시간-Checkin : 14:00 ~ Checkout : 12:00
호텔제이엠,"편의시설-공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설"
호텔제이엠,장애인 시설정보-장애인 시설정보 >
호텔제이엠,장애인 활동 보조 필요성-어려움
낭만펜션,소개-공항과 가깝고 올레길 17코스에 위치해있는 낭만제주펜션은 주변에 이호테우해변 용두암 곽지해변이있습니다.
낭만펜션,이용 시간-Checkin : ~ Checkout :
낭만펜션,"편의시설-공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설"
낭만펜션,장애인 활동 보조 필요성-아주 어려움
제주나인리조트,"소개-가족, 모임, 세미나, 워크숍 등 단체 여행객들이 이용하기 좋은 리조트"
제주나인리조트,숙박 업종-호텔
제주나인리조트,등급-2성급
제주나인리조트,이용 시간-Checkin : 15:00 ~ Checkout : 12:00
토마토하우스,"소개-성산일출봉, 섭지코지 등 볼거리와 성산항 수산시장, 잠수함, 낚시배 등의 체험관광을 도보 5분 거리에서 즐길 수 있는 곳"
토마토하우스,이용 시간-Checkin : ~ Checkout :
토마토하우스,"편의시설-공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설"
토마토하우스,장애인 활동 보조 필요성-아주 어려움
갯바위펜션,소개-중문관광단지에서 차로 10분거리인 난드르에 위치해 있는 펜션
갯바위펜션,이용 시간-Checkin : ~ Checkout :
갯바위펜션,"편의시설-공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설"
갯바위펜션,장애인 활동 보조 필요성-아주 어려움
일출썬 펜션,소개-옥상에서 성산의 일출을 감상할 수 있는 곳
일출썬 펜션,이용 시간-Checkin : ~ Checkout :
일출썬 펜션,"편의시설-공용주차장,현금결제,카드결제,화장실,무료 WIFI"
이후북스,소개-여러 주제를 담은 독립출판물을 만나볼 수 있는 곳
이후북스,"이용 시간-평일 : 12:00 ~ 18:00 , 주말 : 12:00 ~ 18:00"
비스타리조트,소개-통유리로 바라보는 제주 바다
비스타리조트,상세 정보-연중무휴
비스타리조트,이용 시간-Checkin : 15:00 ~ Checkout : 11:00
비스타리조트,"편의시설-공용주차장,화장실,무료 WIFI"
비스타리조트,장애인 활동 보조 필요성-아주 어려움
여래게스트하우스,소개-조용하고 소박한 게스트하우스
여래게스트하우스,상세 정보-연중무휴
여래게스트하우스,이용 시간-Checkin : ~ Checkout :
여래게스트하우스,"편의시설-공용주차장,화장실,무료 WIFI"
여래게스트하우스,장애인 활동 보조 필요성-아주 어려움
강남하우스펜션,소개-낭만과 추억이 가득한 아름다운 펜션
강남하우스펜션,이용 시간-Checkin : ~ Checkout :
달콤한소금만들기,소개-산방산과 용머리해안이 가까운 목조 주택
달콤한소금만들기,이용 시간-Checkin : ~ Checkout :
달콤한소금만들기,"편의시설-공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설"
달콤한소금만들기,장애인 활동 보조 필요성-아주 어려움
베누스무인텔,소개-베누스무인텔
베누스무인텔,상세 정보-애월읍 유수암에 위치한 무인호텔
베누스무인텔,이용 시간-Checkin : 17:00 ~ Checkout : 12:00
베누스무인텔,"편의시설-공용주차장,현금결제,카드결제,화장실,무료 WIFI"
아코하루,소개-도자기로 만든 멋진 소품
아코하루,"편의시설-공용주차장,현금결제,카드결제,무료 WIFI,편의점"
달자펜션,소개-바다 위를 달리는 자전거
달자펜션,상세 정보-연중무휴
달자펜션,이용 시간-Checkin : 15:00 ~ Checkout : 11:00
달자펜션,"편의시설-공용주차장,무료 WIFI"
달자펜션,장애인 활동 보조 필요성-아주 어려움
봉골레 하우스 민박,소개-정망 좋은 2층 마당이 있는 곳
봉골레 하우스 민박,숙박 업종-펜션/민박
봉골레 하우스 민박,등급-없음
봉골레 하우스 민박,룸개수-5
봉골레 하우스 민박,애완동물동반허용여부-동반불가능
봉골레 하우스 민박,조식제공 여부-유료제공
봉골레 하우스 민박,금연여부-흡연구역제공
봉골레 하우스 민박,"부대시설-식음료장,바베큐장,세탁서비스"
봉골레 하우스 민박,이용 시간-Checkin : 11:00 ~ Checkout : 10:00
봉골레 하우스 민박,Late체크인여부-가능
봉골레 하우스 민박,장애인전용객실여부-없음
봉골레 하우스 민박,셔틀버스 운행 여부-운행
봉골레 하우스 민박,장애인 활동 보조 필요성-아주 어려움
엘쯔타운 독채펜션,소개-숲에 둘러싸인 신축펜션
엘쯔타운 독채펜션,이용 시간-Checkin : 16:00 ~ Checkout : 11:00
루하우스,소개-올레길 4코스에 위치한 독채 돌집
루하우스,이용 시간-Checkin : ~ Checkout :
루하우스,"편의시설-공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설"
루하우스,장애인 시설정보-장애인 시설정보 >
루하우스,장애인 활동 보조 필요성-어려움
아리스토캣펜션,소개-일몰과 야경이 인상적인 해안도로의 휴식처
아리스토캣펜션,상세 정보-입실 : 14:00 -20:00 퇴실 : 퇴실일 12:00 pm 까지
아리스토캣펜션,이용 시간-Checkin : ~ Checkout :
아리스토캣펜션,"편의시설-공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,유도 및 안내시설,경보 및 피난시설"
아리스토캣펜션,장애인 활동 보조 필요성-아주 어려움
유탑유블레스호텔,소개-함덕해수욕장 부근에 위치한 호텔
유탑유블레스호텔,이용 시간-Checkin : ~ Checkout :
유탑유블레스호텔,"편의시설-공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,유도 및 안내시설,경보 및 피난시설"
유탑유블레스호텔,장애인 시설정보-장애인 시설정보 >
유탑유블레스호텔,장애인 활동 보조 필요성-어려움
마르지엄,소개-유니크한 소품과 풍경화를 만나는 공간
마르지엄,상세 정보-매주 월요일 휴무
마르지엄,"이용 시간-평일 : 12:00 ~ 18:00 , 주말 : 12:00 ~ 18:00"
하늘조각휴양펜션,"소개-자연, 조형미가 함께하는 편안함과 휴식, 그리고 즐거움을 위한 모든 것이 마련된 곳입니다. 그 어디에서도 없었던 특별한 시간 하늘정원에서 경험해 보시기 바랍니다."
하늘조각휴양펜션,이용 시간-Checkin : ~ Checkout :
하늘조각휴양펜션,"편의시설-공용주차장,현금결제,카드결제,화장실,무료 WIFI,유도 및 안내시설,경보 및 피난시설"
하늘조각휴양펜션,장애인 활동 보조 필요성-아주 어려움
선셋봉고,소개-흔치 않아 매력적인 평대리 빈티지숍
선셋봉고,"상세 정보-매주 월요일, 화요일 정기휴무"
선셋봉고,"이용 시간-평일 : 12:00 ~ 18:00 , 주말 : 12:00 ~ 18:00"
탐라누리,소개-서귀포시 성산읍 수산 자연생태마을에 위치한 민박집
탐라누리,이용 시간-Checkin : ~ Checkout :
탐라누리,"편의시설-공용주차장,현금결제,화장실"
노을과원담,소개-노을이 멋진 신창풍차해안도로와 가까운 아담한 민박
노을과원담,이용 시간-Checkin : ~ Checkout :
노을과원담,"편의시설-공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설"
노을과원담,장애인 활동 보조 필요성-아주 어려움
제주의시간은느리다,소개-천천히가는 제주의 시간
제주의시간은느리다,상세 정보-연중무휴
제주의시간은느리다,이용 시간-Checkin : ~ Checkout :
제주의시간은느리다,"편의시설-공용주차장,화장실,무료 WIFI"
제주오다,소개-바다를 가득 채우는 객실창이 있는 레지던스 호텔형 펜션
제주오다,이용 시간-Checkin : 15:00 ~ Checkout : 11:00
제주오다,"편의시설-공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설"
제주오다,장애인 시설정보-장애인 시설정보 >
갤러리민박,소개-마당이 아름다운 독채민박 직접 가꾸신 이쁜 마당을 가지고 있는 독채팬션이며 애완동물 동반이 가능하다
갤러리민박,숙박 업종-펜션/민박
갤러리민박,등급-없음
갤러리민박,룸개수-4
갤러리민박,애완동물동반허용여부-동반가능
갤러리민박,조식제공 여부-없음
갤러리민박,금연여부-흡연구역제공
갤러리민박,부대시설-바베큐장
갤러리민박,이용 시간-Checkin : ~ Checkout :
갤러리민박,Late체크인여부-가능
갤러리민박,장애인전용객실여부-없음
갤러리민박,셔틀버스 운행 여부-운행
갤러리민박,"편의시설-공용주차장,화장실,무료 WIFI,흡연구역"
갤러리민박,장애인 활동 보조 필요성-아주 어려움
이레민박,소개-돈대산 바로 밑 독채식 민박
이레민박,숙박 업종-펜션/민박
이레민박,등급-없음
이레민박,룸개수-6
이레민박,애완동물동반허용여부-동반불가능
이레민박,조식제공 여부-유료제공
이레민박,금연여부-흡연구역제공
이레민박,"부대시설-식음료장,바베큐장"
이레민박,이용 시간-Checkin : ~ Checkout :
이레민박,Late체크인여부-가능
이레민박,장애인전용객실여부-없음
이레민박,셔틀버스 운행 여부-운행
이레민박,"편의시설-공용주차장,화장실,무료 WIFI,흡연구역,음료대"
이레민박,장애인 활동 보조 필요성-어려움
바다향기펜션,소개-검은모래해수욕장 앞에 위치해 있는 조용한 펜션
바다향기펜션,이용 시간-Checkin : ~ Checkout :
바다향기펜션,"편의시설-공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설"
바다향기펜션,장애인 활동 보조 필요성-아주 어려움
풍년상회,소개-화려하지 않은 외관에 수수한 매력이 있는 소품가게이다.
풍년상회,"이용 시간-평일 : 11:00 ~ 19:00 , 주말 : 11:00 ~ 19:00"
포유펜션,소개-남원에 위치한 감귤과수원 및 연못이 있는 펜션
포유펜션,이용 시간-Checkin : 15:00 ~ Checkout : 11:00
포유펜션,"편의시설-현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설"
포유펜션,장애인 활동 보조 필요성-아주 어려움
노을담은뜨락,소개-환상적인 제주바다의 전망을 한눈에 담을 수 있는곳.
노을담은뜨락,이용 시간-Checkin : 15:00 ~ Checkout : 11:00
노을담은뜨락,"편의시설-공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,경보 및 피난시설"
노을담은뜨락,장애인 활동 보조 필요성-아주 어려움
비아제주Stay,"소개-비아 cafe&stay는 공항에서 버스로 15분, 차로 10~15분 거리에 위치 해 있습니다."
비아제주Stay,이용 시간-Checkin : ~ Checkout :
비아제주Stay,"편의시설-현금결제,무료 WIFI"
뚜띠콜로리 뮤제오,소개-제주의 색을 담은 라이프스타일 소품샵
뚜띠콜로리 뮤제오,"상세 정보-매주 일요일, 월요일 정기휴무"
뚜띠콜로리 뮤제오,"이용 시간-평일 : 11:00 ~ 18:00 , 주말 : 11:00 ~ 18:00"
빌라사계,소개-농도 짙은 쉼을 제공하는 숙소
빌라사계,숙박 업종-펜션/민박
빌라사계,이용 시간-Checkin : 16:00 ~ Checkout : 11:00
가원비치펜션,소개-해비치 해변 바로 앞에 위치한 잔디 정원과 충분한 주차시설을 갖춘 펜션
가원비치펜션,상세 정보-연중무휴
가원비치펜션,이용 시간-Checkin : ~ Checkout :
가원비치펜션,"편의시설-공용주차장,현금결제,카드결제,화장실,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설"
가원비치펜션,장애인 활동 보조 필요성-어려움
달콤한아침,"소개-각각 별도의 비밀번호 현관문, 개별 욕실로 구성된 독채형 펜션"
달콤한아침,이용 시간-Checkin : ~ Checkout :
달콤한아침,"편의시설-화장실,무료 WIFI"
탱글,소개-빈티지 감성이 가득한 라이프스타일 편집샵
탱글,상세 정보-매주 화요일 정기휴무
탱글,"이용 시간-평일 : 12:00 ~ 18:00 , 주말 : 12:00 ~ 18:00"
제주소품,소개-제주 특산품부터 기념품까지 한번에 만나볼 수 있는 소품샵
제주소품,"이용 시간-평일 : 10:00 ~ 21:00 , 주말 : 10:00 ~ 21:00"
아토하우스,소개-인생의 특별한 경험을 할 수 있는 곳 '아토하우스'
아토하우스,상세 정보-연중무휴
아토하우스,이용 시간-Checkin : ~ Checkout :
아토하우스,"편의시설-공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,경보 및 피난시설"
아토하우스,장애인 활동 보조 필요성-어려움
펜션 에덴호스텔,소개-제주국제공항으로부터 차로 7~8분 거리에 위치한 펜션
펜션 에덴호스텔,이용 시간-Checkin : ~ Checkout :
펜션 에덴호스텔,"편의시설-화장실,무료 WIFI"
세화점방,소개-세화해수욕장 건너편 아기자기한 소품샵
세화점방,"이용 시간-평일 : 11:00 ~ 19:00 , 주말 : 11:00 ~ 19:00"
별장민박,소개-아기자기한 골목길 안에 위치한 오리지널 민박
별장민박,숙박 업종-펜션/민박
별장민박,등급-없음
별장민박,룸개수-5
별장민박,애완동물동반허용여부-동반불가능
별장민박,조식제공 여부-유료제공
별장민박,금연여부-전체금연
별장민박,이용 시간-Checkin : ~ Checkout :
별장민박,Late체크인여부-가능
별장민박,장애인전용객실여부-없음
별장민박,셔틀버스 운행 여부-운행안함
별장민박,편의시설-화장실
별장민박,장애인 활동 보조 필요성-아주 어려움
가이아호텔,"소개-바오젠거리 내에 위치하여, 관광 및 쇼핑을 편리하게 다닐수 있는 호텔"
가이아호텔,이용 시간-Checkin : 14:00 ~ Checkout : 12:00
가이아호텔,"편의시설-공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,유도 및 안내시설,경보 및 피난시설"
가이아호텔,장애인 시설정보-장애인 시설정보 >
가이아호텔,장애인 활동 보조 필요성-아주 어려움
뱅오흐디네흐,소개-저렴한 와인을 합리적인 가격에 구매할 수 있는 와인샵
뱅오흐디네흐,"이용 시간-평일 : 11:00 ~ 00:00 , 주말 : 11:00 ~ 00:00"
책방작은숲,소개-책과 함께 여유를 즐기기에 좋은 아늑한 독립서점
책방작은숲,상세 정보-비정기휴무 매장 SNS 확인
책방작은숲,"이용 시간-평일 : 12:00 ~ 18:00 , 주말 : 12:00 ~ 18:00"
쏠레 민박,소개-성산일출봉 및 우도 인근에 위치한 민박
쏠레 민박,이용 시간-Checkin : ~ Checkout :
